Date,Day Name,Readings,Tone,Is Holy Day?,Is Fasting?,Is Solemn Day?,Is Simple Holy Day?,Is Prefestive?,Is Postfestive Celebration?,Beginning of the Week Description,About Today,Remarks,Iconography URL,Iconography Caption,Further Reading
"Wednesday, April 1, 2026","HOLY WEDNESDAY","Ex 2:11-22; Job 2:1-10|Mt 26:6-16",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Holy Week,"Our venerable mother, Mary of Egypt, lived in infamy at Alexandria for 17 years, was converted at the threshold of the Holy Sepulchre at Jerusalem. She retired into the desert of the River Jordan, did penance for 47 years. She died about A.D. 421.",Simple abstinence from meat. The Presanctified Divine Liturgy is celebrated. A Gospel is read at the Presanctified Divine Liturgy.,,,
"Thursday, April 2, 2026","HOLY THURSDAY","Is 50:4-11; 1 Cor 11:23-32|Mt 26:2-20; Jn 13:3-17; Mt 26:31-39; Lk 22:43-45; Mt 26:40-27:2,26:40-27:2",,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Our venerable father, Titus, wonderworker. — SS. Amphianus and Edesius, Martyrs, half-brothers. Amphianus, a youth arrested for his Christianity, reproached his idolatrous judge, was partially burned at the stake and thrown into the sea at Caesarea, to die, A.D. 305, in the reign of Maximian, Emperor. — Our venerable father, Pharmuthius.",Holy Thursday. Vespers with the Divine Liturgy of St. Basil is celebrated in the evening.,,,
"Friday, April 3, 2026","GOOD FRIDAY","Is 52:13-54:1; 1 Cor 1:18-2:2|Mt 27:1-38; Lk 19:31-37; Mt 27:55-61",,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Our venerable father, Nicetas, Confessor and Hegumen-Abbot of Medikia of a monastery at the foot of Mt. Olympus in Bithynia, suffered for the sacred images. He died in peace near Constantinople A.D. 824. — St. Theodosia, Virgin-Martyr of Tyre, was tortured and cast into the sea at Caesarea in Palestine A.D. 308.",Strict Fast and Abstinence required. No meat or dairy products. Good Friday is aliturgical.,,,
"Saturday, April 4, 2026","HOLY SATURDAY","Rom 6:3-11|Mt 28:1-20",,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Our venerable fathers, Joseph and George, Iconoclasts. Joseph, a writer of Hymns, was zealous against the reign of Emperor Theophilus, A.D. 829-842. George, a hermit of Mt. Olympus in Asia Minor, for his zealous opposition to the Iconoclasts, suffered death, or as others record, was maimed by the order of Emperor Leo the Isaurian about A.D. 730. — St. Platon, Hegumen-Abbot Studite of a monastery in Asia Minor and later at Constantinople. He reprimanded sin even in the case of the ruling Emperor. Leo the Armenian, was imprisoned, banished and died in his monastery A.D. 813.","Simple abstinence from meat. Holy Saturday. Vespers with the Divine Liturgy of St. Basil is celebrated in the evening.",,,
"Sunday, April 5, 2026","RESURRECTION OF OUR LORD - PASCHA","Acts 1:1-8|Jn 1:1-17",Festal Tone,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,"SS. Theodulus and Agathopodus, commonly styled ""The Cretan Martyrs,"" victims of the Decian persecution, were beheaded at Gortyna A.D. 250.",Bright Week free from fast and abstinence.,,,
"Monday, April 6, 2026","BRIGHT MONDAY","Acts 1:12-17,21-26|Jn 1:18-28",,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Bright Week,"Death of Methodius — ""Apostle of the Slavs."" Our holy father, Eutyches, Archbishop of Constantinople, lived about A.D. 546, during the reign of the Emperor Justinian.","Bright Week free from fast and abstinence. Today is also the Commemoration of the Death of St. Methodius, Teacher of the Slavs. If celebrated as a polyeleos, Epistle: Heb 8:3-6; Gospel: Matt 5:14-19.",,,
"Tuesday, April 7, 2026","BRIGHT TUESDAY","Acts 2:14-21|Lk 24:12-35",,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,"Our venerable father, George, Bishop of Melete. Venerable father, Serapion, an Egyptian Monk, and later Bishop of Thmunuis, took part in the Council of Sardica A.D. 347 and strenuously opposed the Arians. Associated with SS. Athanasius and Anthony. St. Jerome mentions him.",Bright Week free from fast and abstinence.,,,
"Wednesday, April 8, 2026","BRIGHT WEDNESDAY","Acts 2:22-36|Jn 1:35-51",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"SS. Herodion, Agavus, Ruphus, Asyncritus, Phlegon, Hermas and others, Bishop-Martyrs, apostles; mentioned by St. Paul Apostle (Rom. 16, 11-14). — Venerable, Celestine, Pope of Rome, remarkable for his zeal, deposed a Bishop in Africa, repressed abuses, sent SS. Paladius and Patrick as missionaries to the Scots and Irish. He condemned the Nestorian heresy. Through his Legates he presided over the 3rd Ecumenical Council of Ephesus A.D. 431, died A.D. 432.",Bright Week free from fast and abstinence.,,,
"Thursday, April 9, 2026","BRIGHT THURSDAY","Acts 2:38-43|Jn 3:1-15",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"St. Eupschius, Martyr, a young patrician of Caesarea in Cappadocia, accused of destroying the Temple of Fortune, was cruelly tortured and beheaded A.D. 362, under Emperor Julian the Apostate.",Bright Week free from fast and abstinence.,,,
"Friday, April 10, 2026","BRIGHT FRIDAY","Acts 3:1-8|Jn 2:12-22",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"SS. Terence, Africanus, Maximus, Pompilius and a band of 36 Martyrs, were put to death for their Faith A.D. 250 in the Decian Emperor persecution in Africa.",Bright Week free from fast and abstinence.,,,
