Date,Day Name,Readings,Tone,Is Holy Day?,Is Fasting?,Is Solemn Day?,Is Simple Holy Day?,Is Prefestive?,Is Postfestive Celebration?,Beginning of the Week Description,About Today,Remarks,Iconography URL,Iconography Caption,Further Reading
"Saturday, August 1, 2026","Procession of the Cross","1 Cor 1:18-24|Jn 19:6-11,13-21,25-27,30-35",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10th Saturday after Pentecost,"Procession of the Venerable and Life-giving Cross. Commemoration of the SS. Seven Machabee Brothers, Martyrs, their names being Abim, Antonin, Gurius, Eliazar, Evseon, Alim, Marcell, and their Mother, Solomonia, and their Master, Eleazar, martyred 173 B.C. during the reign of Antiochus, son of Seleucus.","Feast of the Procession of the Holy Cross. Lesser Blessing of Water. Beginning of the Dormition Fast. 8/1 - 8/14.",,,
"Sunday, August 2, 2026","10TH SUNDAY AFTER PENTECOST","1 Cor 4:9-16|Mt 17:14-23",Tone 1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Translation of the Holy Relics of St. Stephen, the first Martyr and Archdeacon from Jerusalem to Constantinople during the reign of the Emperor Constantine the Great A.D. 312. (Other Feast of this Saint is on the 27th day of December.) — St. Stephen, Priest-Martyr, Pope of Rome, and others with him martyred A.D. 260, during the reign of Valerian and Gallienus, Emperors. Tradition alleges that he was beheaded while seated in his chair before the Altar in the Catacombs.",,,,
"Monday, August 3, 2026","Isaacius and Others—Venerables","2 Cor 2:4-15|Mt 23:13-22",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,11th Week after Pentecost,"Our venerable fathers, Isaacius, Dalmatius and Faustus. Isaacius died A.D. 368 in the reign of Valens, Emperor. He had predicted the death of Valens, the Arian, going into battle. This prediction fulfilled, Dalmatius and Faustus died in the reign of Theodosius the Great, Emperor (379-395).",Aliturgical day (without Divine Liturgy) may be observed.,,,
"Tuesday, August 4, 2026","Seven Youths of Ephesus—Martyrs","2 Cor 2:14-3:3|Mt 23:23-28",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"SS. Seven Youth of Ephesus, Martyrs, their names being: Maximilian, Dionisius, Amblichus, Martin, Antonin, John and Marcell. (Confer October 22.) — St. Eudokia, Venerable-Martyr.",Aliturgical day (without Divine Liturgy) may be observed.,,,
"Wednesday, August 5, 2026","Eusignius—Martyr","2 Cor 3:4-11|Mt 23:29-39",,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,"St. Eusignius, Martyr, an old soldier in the army of Constantine Chlorus, Emperor, who at the age of one hundred and ten years, refused to sacrifice to idols on command of Julian the Apostate, Emperor. He was scourged and beheaded as a Christian at Antioch in Syria A.D. 362.",,,,
"Thursday, August 6, 2026","TRANSFIGURATION OF OUR LORD","2 Pet 1:10-19|Mt 17:1-9",,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,"The Transfiguration of our Lord, God and Saviour, Jesus Christ. By this manifestation of His Divine Glory, Jesus Who has just foretold His Passion to the Apostles, strengthened their Faith and prepared them for His sufferings and death.",Transfiguration. Blessing of Fruit.,,,
"Friday, August 7, 2026","Domitius—Venerable Martyr","2 Cor 4:13-18|Mt 24:27-33,42-51",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"St. Domitius, Venerable-Martyr. Julian the Apostate, Emperor, irritated it is alleged by the reproaches Domitius ventured to address to him, had him stoned to death A.D. 362. — St. Pulcheria was the daughter of the Eastern Emperor Arcadius. On the death of her brother, Emperor Theodosius II, a fallen away Catholic, she became Empress, and ruled wisely and well. She died A.D. 453. The Ecumenical Council of Chalcedon salutes Pulcheria as ""Guardian of the Faith, maker of peace, pious, orthodox and a second St. Helen.""",Simple abstinence from meat or equivalent penance.,,,
"Saturday, August 8, 2026","Emilian—Bishop-Confessor","1 Cor 1:3-9|Mt 19:3-12",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"St. Emilian, Confessor, Bishop of Cyzicus, fearlessly denounced the Iconoclasts. He was brought before the Emperor Leo the Armenian, subjected to many indignities, and died in exile A.D. 820. — SS. Eleutherius and Leonidas, Martyrs.",,,,
"Sunday, August 9, 2026","11TH SUNDAY AFTER PENTECOST|Matthias—Apostle","1 Cor 9:2-12|Mt 18:23-35",Tone 2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,"St. Matthias, Apostle. Some writers suppose him to have preached the Gospel in Judea and later in Ethiopia, and to have met his death by crucifixion. Others assert that he was stoned to death by the Jews in Jerusalem.","Feast of the Holy Apostle Matthias, Epistle, Acts 1:12-17,21-26; Gospel Luke 9:1-6.",,,
"Monday, August 10, 2026","Lawrence—Archdeacon-Martyr","2 Cor 5:10-15|Mk 1:9-15",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,12th Week after Pentecost,"St. Lawrence, Archdeacon-Martyr, one of the most famous martyrs of Rome. He was a Deacon of the Pope St. Sixtus II. This holy deacon was tortured and in the end was roasted alive on a gridiron A.D. 258, under Emperor Valerian.",,,,
