Date,Day Name,Readings,Tone,Is Holy Day?,Is Fasting?,Is Solemn Day?,Is Simple Holy Day?,Is Prefestive?,Is Postfestive Celebration?,Beginning of the Week Description,About Today,Remarks,Iconography URL,Iconography Caption,Further Reading
"Tuesday, December 1, 2026","Nahum—Prophet","2 Tim 3:16-4:4|Lk 19:45-48",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28th Week after Pentecost,"St. Nahum, Prophet, One of the Minor Prophets, lived in the seventh century B.C. He saw the fulfillment of his prophecy of the destruction of Nineveh. — St. Filaret, the ""Almsgiver"" and St. Ananias, Martyr.","Aliturgical day (without Divine Liturgy) may be observed.",,,
"Wednesday, December 2, 2026","Habakkuk—Prophet","2 Tim 4:9-22|Lk 20:1-8",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"St. Habakkuk, one of the Twelve Minor Prophets, of the Tribe of Simeon, lived in the 5th century B.C. His relics were discovered in the reign of the Emperor Theodosius the Great about A.D. 379.","Aliturgical day (without Divine Liturgy) may be observed.",,,
"Thursday, December 3, 2026","Zephaniah—Prophet","Titus 1:5-2:1|Lk 20:9-18",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"St. Zephaniah, Prophet, said to be of the Tribe of Simeon foretold the judgments of God upon Jerusalem, and the ultimate conversion of the Jews. He lived in the 7th century B.C. — Our venerable father, Theodulus, was Prefect of Constantinople A.D. 320.","Aliturgical day (without Divine Liturgy) may be observed.",,,
"Friday, December 4, 2026","Barbara—Great Martyr|John Damascene","Titus 1:15-2:10|Lk 20:19-26",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"St. Barbara, Great-Martyr, endured death A.D. 290 during the reign of Diocletian and Maximianus, Emperors. — Our venerable father, St. John Damascene, Doctor of the Church, born in Syria, educated by St. Comas, succeeded his father as the Caliph's Vizier. He distributed his possessions among the poor, retired to the monastery of St. Sabbas at Jerusalem. Laboring and writing much, he championed the Faith against the Iconoclast Emperor Leo the Isaurian, and was sentenced to have his right hand cut off. It was miraculously restored by the Theotokos. By him was composed the beautiful ""Canon of the Resurrection."" He lived to be 104 years old, died in the 2nd half of the 8th century A.D. (Between A.D. 750-780.)",Simple abstinence from meat or equivalent penance.,,,
"Saturday, December 5, 2026","Sabbas—Venerable","Gal 5:22-6:2|Mt 11:27-30",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Our venerable and divinely inspired father, St. Sabbas, Hegumen-Abbot. He rendered great service to the Eastern Church against the Eutychian heretics. He died at the age of 94 A.D. 532 in the reign of the Emperor Justinian the Great.",,,,
"Sunday, December 6, 2026","28TH SUNDAY AFTER PENTECOST|NICHOLAS OF MYRA—ARCHBISHOP","Col 1:12-18;Heb 13:17-21|Lk 17:12-19;Lk 6:17-23",Tone 3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Our holy father, Nicholas, Archbishop of Myra in Lycia, the ""wonderworker."" He is the Patron of the Byzantine Catholic Faithful. He used his large inheritance to assist the poor. He is a very popular Saint among the various nations; also here in the U.S.A. He died in the middle of the 4th century A.D. (Confer May 9.)","The Sunday Gospel is from the 29th Sunday after Pentecost. This Gospel is transferred from Sunday, December 13, to avoid repetition, because the Gospel of the 29th Sunday is the Gospel of the Holy Forefathers.",,,
"Monday, December 7, 2026","Ambrose—Archbishop","Heb 3:5-11;17-19|Lk 20:27-44",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29th Week after Pentecost,"Our holy father, Ambrose, Archbishop of Milan, is one of the four great Doctors of the Western Church. He was a great exegete and orator, by whom St. Augustine was converted and baptized. He died A.D. 387.","Aliturgical day (without Divine Liturgy) may be observed.",,,
"Tuesday, December 8, 2026","MATERNITY OF THE HOLY ANNA","Gal 4:22-31|Lk 8:16-21",,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,"Maternity of St. Anna. The Eastern Church has been celebrating this feast since the 6th century to commemorate the Conception of the Theotokos by St. Anna. The dogma of the Immaculate Conception (i.e., the preservation from the stain of the original sin) was declared A.D. 1854.","In other Byzantine traditions, Feast of the Maternity of the Holy Anna, Epistle, Galatians 4:22-31; Gospel, Luke 9:16-21.",,,
"Wednesday, December 9, 2026","Patapius—Venerable","Heb 5:11-6:8|Lk 21:5-7,10-11,20-24",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Our venerable father, Patapius, was of Thebes, Egypt, lived as a Hermit in the suburbs of Constantinople.","Aliturgical day (without Divine Liturgy) may be observed.",,,
"Thursday, December 10, 2026","Mennas and Others—Martyrs","Heb 7:1-6|Lk 21:28-33",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"SS. Mennas, Hermogenes and Eugraphus, Martyrs, were tortured and beheaded during the reign of Maximian and Diocletian, Emperors, A.D. 304, for spreading Christianity in Egypt.",,,,
"Friday, December 11, 2026","Daniel the Stylite—Venerable|Spiridon—Wonderworker-Bishop","Heb 7:18-25|Lk 21:37-22:8",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Our venerable father, Daniel, Stylite, imitating St. Simeon in the mode of austere life, he spent 30 years on his pillar, miraculously healing many sick people. He died A.D. 492 at the age of 80.","Simple abstinence from meat or equivalent penance. If the Feast of Our Lady of Guadalupe is celebrated, the commemoration of the Holy Father Spiridon is transferred to this day.",,,
"Saturday, December 12, 2026","OUR LADY OF GUADALUPE","Heb 9:1-7|Lk 1:39-56",,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Our Lady of Guadalupe. Our venerable father, Spiridon, wonderworker, Bishop of Tremyfia. In the persecution under Galerius, Emperor, Spiridon, with many other Christians, was condemned to lose an eye and to slave in the mines. He lived as late as A.D. 347.","Outside the Ruthenian Metropolia, Spiridon, Wonderworker-Bishop, Epistle, Ephesians 2:11-13; Gospel, Lk 13:18-29.",,,
"Sunday, December 13, 2026","SUNDAY OF THE FOREFATHERS","Col 3:4-11|Lk 14:16-24",Tone 4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"SS. Eustratius, Auxentius, Eugene, Mardarius and Orestes, Martyrs, suffered martyrdom A.D. 302 at Sebaste in Armenia, under the reign of Diocletian, Emperor. — St. Lucy, Virgin-Martyr, endured shameful tortures and indignities. Finally a sword was thrust through her throat A.D. 304 at Syracuse under the reign of Diocletian, Emperor.","Sunday of the Forefathers and the Feast of the Holy Martyr Eustratius and his Companions, readings for the Martyrs: Epistle, Ephesians 6:10-17; Gospel, Luke 21:12-19.",,,
