Date,Day Name,Readings,Tone,Is Holy Day?,Is Fasting?,Is Solemn Day?,Is Simple Holy Day?,Is Prefestive?,Is Postfestive Celebration?,Beginning of the Week Description,About Today,Remarks,Iconography URL,Iconography Caption,Further Reading
"Sunday, February 1, 2026","SUNDAY OF THE PRODIGAL SON","1 Cor 6:12-20|Lk 15:11-32",Tone 1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,"St. Tryphon, Martyr, put to death A.D. 250 by Akylinus, during the reign of the persecutor Emperor Decius.",,,,
"Monday, February 2, 2026","ENCOUNTER OF OUR LORD WITH SIMEON","Heb 7:7-17|Lk 2:22-40",,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,"Encounter of our Lord with Simeon and Anna. This is one of the most ancient of all the feasts, for we find it established at Jerusalem in the 4th century.",Blessing of Candles (Some traditions).,,,
"Tuesday, February 3, 2026","Synaxis of the Holy Prophets Simeon & Anna","1 Jn 3:10-20|Mk 14:10-42",,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Meatfare Week,"St. Simeon, the Venerable-Senex and ""God-Bearer,"" lived to see and hold the Infant Jesus, the consolation of Israel, in his arms. — St. Anna, Prophetess, prophesied concerning Christ. She remained in widowhood consecrated to the service for 54 years, not leaving the Temple, she persevered night and day in prayer and fasting. At the age of 84 she beheld the Infant Jesus at the Presentation. (Confer Aug. 28.)",,,,
"Wednesday, February 4, 2026","Isidore—Venerable","1 Jn 3:21-4:6|Mk 14:43-15:1",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Our Venerable Father, Isidore of Pelusium, founded a monastery at Pelusium, and was held in great esteem as a theologian and guide of souls. Died about A.D. 450. — St. Jador, Martyr, was put to death by Numerius, during the reign of the Emperor Decius.",,,,
"Thursday, February 5, 2026","Agatha—Martyr","1 Jn 4:20-5:21|Mk 15:1-15",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"St. Agatha, Martyr, suffered death in prison A.D. 250 under the leadership of Quintinianus, during the reign of Emperor Decius.",,,,
"Friday, February 6, 2026","Bucolus—Bishop","2 Jn 1-13|Mk 15:22,25,33-41",,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,"Our Venerable father, Bucolus, Bishop of Smyrna. He lived in the days of St. John the Evangelist, by whom he was appointed Bishop before Polycarp, Martyr.",Simple Abstinence from meat or equivalent penance.,,,
"Saturday, February 7, 2026","1st All Souls Saturday","1 Cor 10:23-28|Lk 21:8-9,25-27,33-36",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Our Venerable father, Parthenius, Bishop of Lampsachia, died A.D. 318, during the reign of Emperor Constantine the Great. — Our venerable father, Luke, who was in Helladia of Syria.",,,,
"Sunday, February 8, 2026","SUNDAY OF MEAT FARE","1 Cor 8:8-9:2|Mt 25:31-46",Tone 2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"St. Theodore, the great Martyr, was a general in the army of the Emperor Licinius. He suffered death at Heraclea in Thrace A.D. 318. (confer June 8). — St. Zacharias, the Prophet, was one of the tribe of Levi 520 B.C.",,,,
"Monday, February 9, 2026","Nicephorus—Martyr","3 Jn 1-15|Lk 19:29-40,22:7-39",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Cheesefare Week,"St. Nicephorus, Martyr, a Syrian Christian, took the place of Sapricius who apostatised before a heathen judge, and was put to death A.D. 260, during the reign of Emperor Valerian.",,,,
"Tuesday, February 10, 2026","Charalampus—Martyr","Jude 1-10|Lk 22:39-42,45-23:1",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"St. Charalampus, Martyr, endured death by the sword A.D. 203 at Magnesia in Asia Minor, in the hegemony of Lucinianus, in the reign of Emperor Septimius Severus.",,,,
"Wednesday, February 11, 2026","Blase—Bishop-Martyr","Joel 2:12-26|Joel 4:12-21",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"St. Blase, Bishop-Martyr, suffered martyrdom A.D. 316 at Sebaste, by beheading, during the hegemony of Licinius, in the reign of Constantine, the Great, Emperor.",Cheesefare Week. Wednesday is an aliturgical day (without Divine Liturgy).,,,
"Thursday, February 12, 2026","Meletius—Archbishop","Jude 11-25|Lk 23:1-34,44-56",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Our holy father, Meletius, Archbishop of Great Antioch was elected to the Patriarchal See in A.D. 360 but within a month he was sent into exile by the Emperor Constantius. Reinstated in 378 he held a council of 150 Bishops and took prominent part in the Council of Constantinople A.D. 380, in the reign of Theodosius the Great. — St. Marina, Virgin, in male attire, lived in the monastery to the year A.D. 440.",,,,
"Friday, February 13, 2026","Martinian—Venerable","Zech 8:7-17|Zech 8:19-23",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Our venerable father, Martinian, Hegumen, died in the year A.D. 415 in the reign of Theodosius the Younger. — St. Zoe and St. Photina, Venerable Women.",Simple Abstinence from meat or equivalent penance. Cheesefare Week. Friday is an aliturgical day (without Divine Liturgy).,,,
"Saturday, February 14, 2026","All Holy Ascetical Fathers and Mothers|Death of Cyril Apostle to the Slavs","Rom 14:19-26|Mt 6:1-13",,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,"The death of our venerable father, Cyril, Bishop of Catania, the brother of St. Methodius, Apostle of the Slavs and Bulgarians. The old Slavic alphabet (""Cyrillic"") is ascribed to him, who, with his brother, translated many Church books from the Greek into the Slavonic language. He died A.D. 869 in Rome. (Confer May 11 and July 5.) Our venerable father, Auxentius, Hegumen, was a soldier in the bodyguard of the Emperor Theodosius the Younger. He defended the Catholic Faith at the time of the Council of Chalcedon A.D. 451. He died soon after.","The Feast of the Death of St. Cyril, Apostle to the Slavs, may also be celebrated, Epistle, Heb 7:26-8:2; Gospel, John 10:9-16.",,,
"Sunday, February 15, 2026","SUNDAY OF CHEESEFARE","Rom 13:11-14:4|Mt 6:14-21",Tone 3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"St. Onesimus, Apostle, was a slave of Filemon, later a disciple of the Apostle Paul. He became Bishop of Ephesus after St. Timothy and died a martyr at Rome. — Paphnutius, Venerable-Hermit in Egypt and his daughter, Euphrosyne.",,,,
"Monday, February 16, 2026","1ST DAY OF THE GREAT FAST|Pamphilius & Others—Martyrs","Gen 1:1-13|Prov 1:1-20",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1st Week of the Great Fast,"SS. Pamphilius, Valentine, Paul, Seleucus, Porphyrus, Julian, Theodulus, and the five Martyrs of Egypt, Elias, Jeremias, Isaias, Samuel and Daniel, suffered martyrdom during the reign of Diocletian. — Our venerable father, Flavianus, Archbishop of Constantinople, died of ill treatment A.D. 450 and already the Fathers of Chalcedon proclaimed his Sanctity A.D. 451.","Beginning of the Great Fast. Strict fast and abstinence required. No meat or dairy products. Today is also the civil observance of Presidents' Day. Mondays to Fridays in the Great Fast are aliturgical (without Divine Liturgy) days. The Presanctified Divine Liturgy is celebrated on Wednesday and Friday.",,,
"Tuesday, February 17, 2026","Theodore the Recruit—Great-Martyr","Gen 1:14-23|Prov 1:20-33",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"St. Theodore of Tyre, the Great Martyr, was burned to death A.D. 306, during the reign of Emperor Maximian Herculeus. — Memory of St. Mariamna, sister of Philip, the Apostle.",,,,
"Wednesday, February 18, 2026","Leo the Great—Pope","Gen 1:24-2:3|Prov 2:1-21",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Our holy father, Leo the Great, Pope of Rome, opposed the Nestorians and taught, like St. Cyril of Alexandria, the unity of person in Christ. He saved Rome from the invasion of Attila and died A.D. 461 during the reign of Emperor Leo the Great.",Simple Abstinence from meat or equivalent penance. Presanctified Divine Liturgy celebrated.,,,
"Thursday, February 19, 2026","Archippus—Apostle","Gen 2:4-19|Prov 3:1-18",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"St. Archippus, Apostle, a co-worker with St. Paul, first Bishop of the Colossians. Tradition says he was stoned to death during the reign of Emperor Nero. — SS. Maxim, Theodot, Isychus and Asklepidotus, Martyrs.",,,,
