Date,Day Name,Readings,Tone,Is Holy Day?,Is Fasting?,Is Solemn Day?,Is Simple Holy Day?,Is Prefestive?,Is Postfestive Celebration?,Beginning of the Week Description,About Today,Remarks,Iconography URL,Iconography Caption,Further Reading
"Thursday, January 1, 2026","Circumcision of our Lord|Basil the Great—Archbishop","Col 2:8-12; Heb 7:26-8:2|Lk 2:20-21,40-52,6:17-23",,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,"Feast of Circumcision of Our Lord and Saviour, Jesus Christ. The name of Jesus given to the child on this occasion, means ""Saviour."" — The Feast of St. Basil the Great, Archbishop of Caesarea in Cappadocia, most famous of the Byzantine Church, and one of the four great doctors: called also ""Patriarch of the Eastern Monks."" He died A.D. 379 (Confer January 30.)",,,,
"Friday, January 2, 2026","Pre-Festive of Theophany|Sylvester—Pope of Rome","Heb 11:8,11-16|Mk 12:1-12",,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Ep. 30th Week after Pentecost; Gos. 32nd Week after Pentecost,"Our holy father, Sylvester, Pope of Rome, under his Pontificate was held the First Ecumenical Council at Nicea A.D. 325, the decrees of which were approved by him. He died A.D. 335 during the reign of Constantine the Great, Emperor.",,,,
"Saturday, January 3, 2026","Saturday before Theophany|Malachi—Prophet","1 Tim 3:14-4:5|Mt 3:1-11",,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,"St. Malachy, Prophet, 400 B.C. — St. Gordius, Martyr, who suffered death A.D. 320, during the reign of Licinius, Emperor.",,,,
"Sunday, January 4, 2026","SUNDAY BEFORE THEOPHANY|Synaxis of the Seventy Apostles","2 Tim 4:5-8|Mk 1:1-8",Tone 5,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,"Synaxis of 70 Apostles, whose names St. Dorotheus recorded. — Our venerable father, Theoktistus, Hegumen-Abbot in Cucume of Sykeleia.",,,,
"Monday, January 5, 2026","Vigil of Theophany|Royal Hours - PM","1 Cor 9:19-27|Lk 3:1-18",,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,"SS. Theopemptus and Theonas, Martyrs, martyred A.D. 290, during the reign of Diocletian. — Syncletica, Venerable. — St. Micah, Prophet.",,,,
"Tuesday, January 6, 2026","THEOPHANY OF OUR LORD","Titus 2:11-14,3:4-7|Mt 3:13-17",,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,"Theophany, or Holy Manifestation of the Divinity of our Lord and Saviour, Jesus Christ. One of the oldest feasts in the East, it has been traced back to the beginning of the 2nd century. The Western Church accepted this great Feast Day from the Eastern Church in the 3rd century.",,,,
"Wednesday, January 7, 2026","Synaxis of St. John the Forerunner","Acts 19:1-8|Jn 1:29-34",,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,"Synaxis of St. John, the glorious Prophet, Precursor and Baptist, who baptized our Lord Jesus Christ in the River Jordan.",,,,
"Thursday, January 8, 2026","Post-festive of Theophany|George, Dominica & Emilian—Venerables","James 1:19-27|Mk 10:17-27",,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,31st Week after Pentecost,"Our venerable father, George, the Chozebite and Emilian, Confessor. They were martyred A.D. 820, in the reign of Nicephorus Gennicus. — Our venerable mother, Dominica, of Carthage, who lived in the year A.D. 374, in the reign of Theodosius the Great. — SS. Juliana and Basilissa, martyred A.D. 300, during the reign of Diocletian, Emperor.",,,,
"Friday, January 9, 2026","Post-festive of Theophany|Polyeuct—Martyr","James 2:1-13|Mk 10:23-32",,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,"St. Polyeuct, Martyr, suffered death A.D. 255, during the reign of the Decius or Valerianus. — Eustratius, Venerable, endured death in the reign of Leo Iconomachus, Emperor.",,,,
"Saturday, January 10, 2026","Saturday after Theophany|Gregory of Nyssa—Bishop","Eph 6:10-17|Mt 4:1-11",,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,"Our holy father, Gregory, Bishop of Nyssa, consecrated in A.D. 372, brother of St. Basil the Great. Died A.D. 395. — Dometian, Venerable, Bishop of Melite, died A.D. 570, in the reign of Justinius the Younger. — Our venerable father, Marcian, Presbyter and Treasurer of the great Church of Holy Wisdom; died A.D. 489.",,,,
"Sunday, January 11, 2026","SUNDAY AFTER THEOPHANY|Theodosius—Venerable","Eph 4:7-13|Mt 4:12-17",Tone 6,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,"Our venerable father, Theodosius, Hegumen-Abbot died in A.D. 485 at the age of 105 in the reign of Leo and Anastasius, Emperors.",,,,
"Monday, January 12, 2026","Post-festive of Theophany|Tatiana—Martyr","James 2:14-26|Mk 10:46-52",,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,32nd Week after Pentecost,"St. Tatiana, Martyr, lived in A.D. 227, in the reign of Alexander. Her father was a Soldier and Elder of the city; after many tortures, she died by the sword along with her father. — Eupraxia, Venerable.",,,,
"Tuesday, January 13, 2026","Post-festive of Theophany|Hermylaus and Stratonicus—Martyrs","James 3:1-10|Mk 11:11-23",,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,"SS. Hermolaus and Stratonicus, Martyrs: Deacon of Singudunum (Belgrade) and his servant were tortured and drowned in the River Danube, A.D. 315, under Licinius, Emperor.",,,,
"Wednesday, January 14, 2026","Leave-Taking of Theophany|Venerable Fathers of Sinai and Raithu","James 3:11-4:6|Mk 11:23-26",,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,"Our venerable Fathers of Sinai and Raitho, suffered martyrdom from the Saracens A.D. 296, during the reign of Diocletian, Emperor.",,,,
"Thursday, January 15, 2026","Paul of Thebes—Venerable|John the Hut-Dweller—Venerable","James 4:7-5:9|Mk 11:27-33",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Our venerable fathers, Paul of Thebes and John the ""Tent-Dweller."" Paul was the First Hermit. He fled into the desert of Egypt during the reign of Emperor Decius and died about A.D. 343. John was of famous parentage and received tonsure in the monastery of the Cenobites in the reign of Leo the Great, Emperor (A.D. 457-475).",,,,
"Friday, January 16, 2026","Veneration of the Chains of Peter the Apostle","1 Pet 1:1-2,10-12; 2:6-10|Mk 12:1-12",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Veneration of the venerable Chains of St. Peter, the all-praiseworthy Apostle. The chains with which St. Peter was bound in the prison were preserved at the stational church on the Esquiline in Rome and, in the Middle Ages, attracted numerous Pilgrims.",,,,
"Saturday, January 17, 2026","Anthony the Great—Venerable","Heb 13:17-21|Lk 6:17-23",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Our venerable and divinely inspired father, Anthony the Great, was Egyptian by birth, who went into the desert during the reign of Constantine the Great, in the year A.D. 312. Living to the age of 105, he died A.D. 356. He was a friend of St. Paul the Hermit, and was one of the founders of the cenobitical life.",,,,
"Sunday, January 18, 2026","32ND SUNDAY AFTER PENTECOST|SUNDAY OF ZACCHAEUS|Athanasius and Cyril—Archbishops of Alexandria","1 Tim 4:9-15|Lk 19:1-10",Tone 7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Our holy fathers, Athanasius and Cyril, Archbishops of Alexandria. St. Athanasius is one of the four great doctors of the Byzantine Church: called the ""Father of Orthodoxy."" He opposed the Arians with admirable zeal and endured exile for 46 years. He died in A.D. 373. (Confer May 2). — St. Cyril opposed the Nestorians and taught that the divine and human natures in Christ are united in oneness of person, and that the Theotokos ought truly to be called the Mother of God. He presided over the 3rd Ecumenical Council at Ephesus A.D. 431. He died in A.D. 444 (Confer June 9.)",,,,
