Date,Day Name,Readings,Tone,Is Holy Day?,Is Fasting?,Is Solemn Day?,Is Simple Holy Day?,Is Prefestive?,Is Postfestive Celebration?,Beginning of the Week Description,About Today,Remarks,Iconography URL,Iconography Caption,Further Reading
"Wednesday, July 1, 2026","Cosmas and Damian—Unmercenaries","1 Cor 2:9-3:8|Mt 13:31-36",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6th Week after Pentecost,"SS. Cosmas and Damian, wonderworkers, unmercenary physicians, Martyrs. They were twins, Arabs by birth and lived in Cilicia. They are highly esteemed in the Eastern Church. (Confer Nov. 1.)",,,,
"Thursday, July 2, 2026","Deposition of the Robe of the Theotokos","Heb 9:1-7|Lk 10:38-42,11:27-28",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Deposition of the Venerable Robe of The Theotokos, in the church of Blachernae at Constantinople in the reign of the Emperor Leo and his consort Irene. — Our holy father, Juvenal, who, after St. Cyril was the third Patriarch of Jerusalem, died A.D. 454 during the reign of Marcian and Pulcheria, Emperors.",,,,
"Friday, July 3, 2026","Hyacinth—Martyr","1 Cor 4:5-8|Mt 13:44-54",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"St. Hyacinth, Martyr, a chamberlain of the Emperor Trajan at Caesarea in Cappadocia. Accused of being a Christian, he was cruelly scourged and cast into prison and given no food except meat consecrated to idols. He lingered many days and died of hunger about A.D. 108. — Our holy father, Anatolius, Patriarch of Constantinople, who flourished A.D. 453 during the reign of the Emperor Marcian.",Simple abstinence from meat or equivalent penance.,,,
"Saturday, July 4, 2026","Andrew of Jerusalem—Archbishop|Independence Day","Rom 9:1-5|Mt 9:18-26",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Our holy father, Andrew, the Jerusalemite, Archbishop of Crete. He died A.D. 686, under the reign of Justinian II, Emperor. — Venerable Martha, mother of St. Simeon of the ""Wondermount.""","Independence Day, optional texts, Heb 12:7-11,14-17,25-28; Jn 8:31-42.",,,
"Sunday, July 5, 2026","6TH SUNDAY AFTER PENTECOST|Athanasius of Mount Athos—Venerable","Rom 12:6-14|Mt 9:1-8",Tone 5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Our venerable father, Athanasius, Hegumen-Abbot of Mt. Athos, A.D. 1805 — Venerable Lampadus, wonderworker of Irenopolis, and our venerable mother Martha, mother of the Holy Simeon of the ""Wonderful Mountain.""","Feast of our Venerable Father Athanasius of Mt. Athos, Epistle, Galatians 5:22-6:2; Gospel, Luke 6:17-23.",,,
"Monday, July 6, 2026","Sisoes the Great—Venerable","1 Cor 5:9-6:11|Mt 13:54-58",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7th Week after Pentecost,"Our venerable father, Sisoes the Great, Hermit and Anchorite in Egypt. He died about A.D. 429 after 62 years in the wilderness.",,,,
"Tuesday, July 7, 2026","Thomas and Acacius—Venerables","1 Cor 6:20-7:12|Mt 14:1-13",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Our venerable fathers, Thomas of Malea and Acacius who is mentioned in ""The Ladder of Perfection."" — St. Cyriaca, Martyr, a wealthy Roman widow who sheltered persecuted Christians. Her charity cost her life. She was scourged to death as a Christian A.D. 249, under persecutor Decius, Emperor.",,,,
"Wednesday, July 8, 2026","Procopius—Great-Martyr","1 Cor 7:12-24|Mt 14:35-15:11",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"St. Procopius, Great-Martyr, a Palestinian Christian, a Lector and Interpreter in the Church of Scythopolis. Arrested in the persecution under Diocletian, he was brought to Caesarea, boldly confessed his Faith before judges, was sentenced and executed A.D. 303.",,,,
"Thursday, July 9, 2026","Pancratius—Bishop-Martyr","1 Cor 7:24-35|Mt 15:12-21",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"St. Pancratius, Priest-Martyr, Bishop of Taormina, was a disciple of St. Peter the Apostle, who sent him as a missionary Bishop into Sicily, where he laid down his life for Christ. — St. Theodore, Bishop of Edessa. — and The fasting Ten Thousand Saints.",,,,
"Friday, July 10, 2026","Anthony of the Caves—Venerable","Gal 5:22-6:2|Lk 6:17-23",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Our venerable father, Anthony of the ""Kiev-Cave,"" being the first of all the Monks of ""Rus"" to lead a monastic life during the sovereignty of Vladimir the Great, Grand Duke of ""Rus."" He died A.D. 1078 having spent 26 years in the cave, attaining to the advanced age of 90 years. — Forty-five Martyrs at Nicopolis in Armenia. Mauricius, Daniel, Antonius and others with them who suffered death under Licinius, Emperor, A.D. 317.",Simple abstinence from meat or equivalent penance.,,,
"Saturday, July 11, 2026","Euphemia—Martyr|Olga—Princess of Kiev","Rom 12:1-3|Mt 10:37-11:1",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"St. Euphemia, Martyr, the most commendable, her knowledge was like that of the holy Fathers, suffered death A.D. 288. — The death of Blessed Olga, Grand Duchess of Kiev. In baptism (about A.D. 955) she chose the name ""Helen.""",Benedictines — Our Venerable Father Benedict.,,,
"Sunday, July 12, 2026","7TH SUNDAY AFTER PENTECOST","Rom 15:1-7|Mt 9:27-35",Tone 6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"SS. Proclus and Hilary, Martyrs, were Christians of Ancyra in Galatia (Asia Minor), tortured and put to death by Trajan and Maximum, Emperors A.D. 115. — Our venerable father, Michael of Malea flourished in the year A.D. 931. — St. Mary, Martyr, was the wife of a magician. Lived in the year A.D. 588 in the reign of Mauricius, Emperor.",,,,
"Monday, July 13, 2026","Synaxis of the Archangel Gabriel","1 Cor 9:13-18|Mt 16:1-6",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8th Week after Pentecost,"Synaxis of St. Gabriel, the Archangel. (See March 26.) — Our venerable father Stephen of Sabbas, who suffered death during the reign of Severus, Emperor, A.D. 201.",,,,
"Tuesday, July 14, 2026","Aquila—Apostle","1 Cor 10:5-12|Mt 16:6-12",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"St. Aquila, Apostle, died A.D. 65. — Onesimus, venerable.",,,,
