Date,Day Name,Readings,Tone,Is Holy Day?,Is Fasting?,Is Solemn Day?,Is Simple Holy Day?,Is Prefestive?,Is Postfestive Celebration?,Beginning of the Week Description,About Today,Remarks,Iconography URL,Iconography Caption,Further Reading
"Monday, June 1, 2026","Justin and Others—Martyrs","Rom 2:28-3:18|Mt 6:31-34,7:9-11",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2nd Week after Pentecost,"St. Justin, Martyr, a great philosopher, was born in Sichem in Palestine. He delved deeply into philosophical meditations, became a convert to Christianity with others, wrote Apologies for the Christian Religion and a Dialogue with the Jew Tryphon. He was beheaded in Rome A.D. 167 in the reign of the Emperor Marcus Aurelius. — Another St. Justin, Martyr and Co-Martyrs.","Beginning of the Apostles Fast. 6/1 to 6/28. Aliturgical day (without Divine Liturgy) may be observed.",,,
"Tuesday, June 2, 2026","Nicephor—Patriarch","Rom 4:4-12|Mt 7:15-21",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Our holy father, Nicephor, Patriarch of Constantinople. (For the other Feast of this Saint see the 13th day of March.) — Our holy father, Alexander, Archbishop of Constantinople. He resolutely stood against the Arian heresy, assisted at the Council of Nicea. The awful death of Arius is regarded as a response to the Saint's prayer for deliverance from the evils of this heresy. He died A.D. 340 in the reign of Emperor Constantinus.",,,,
"Wednesday, June 3, 2026","Lucillian and Others—Martyrs","Rom 4:13-25|Mt 7:21-23",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"St. Lucillian, Martyr and with him: Claudius, Hypatius, Paul and Dionysius. Lucillian, an old man, was first tortured and with the four — mere boys — tied to the stake to be burned. Rain, however, extinguished the fire. He was then crucified and the boys beheaded, under Aurelian A.D. 273. — St. Paula, Martyr, a Christian maiden of Byzantium who was tortured and beheaded A.D. 273.",Aliturgical day (without Divine Liturgy) may be observed.,,,
"Thursday, June 4, 2026","Metrophanes—Patriarch","Rom 5:10-16|Mt 8:23-27",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Our holy father, Metrophanes, Patriarch of Constantinople, suffered imprisonment in the persecution under Diocletian, Emperor. He died A.D. 325 in the reign of Constantine the Great, Emperor.",,,,
"Friday, June 5, 2026","Dorotheus—Bishop-Martyr","Rom 5:17-6:2|Mt 9:14-17",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"St. Dorotheus, Priest-Martyr, Bishop of Tyre, suffered banishment under Julian the Apostate A.D. 362 being 107 years of age.","Simple abstinence from meat or equivalent penance. Aliturgical day (without Divine Liturgy) may be observed.",,,
"Saturday, June 6, 2026","Bessarion and Hilary—Venerables","Rom 3:19-26|Mt 7:1-8",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Our venerable father, Bessarion, wonderworker, because of his virtues and miracles the Greek writers compare him with Moses, Elias and others of the Prophets. He is thought to have died before A.D. 400. — Venerable, Hilary, the ""Newer,"" monk in Dalmatia. He suffered exile for his resistance to the Iconoclasts. He died A.D. 864.",,,,
"Sunday, June 7, 2026","2ND SUNDAY AFTER PENTECOST","Rom 2:10-16|Mt 4:18-23",Tone 1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"St. Theodotus, Priest-Martyr, Bishop of Ancyra, ""Wonderworker"" was cruelly tortured to death for the Faith.",,,,
"Monday, June 8, 2026","Translation of the Relics of the Great-Martyr Theodore","Rom 7:1-13|Mt 9:36-10:8",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3rd Week after Pentecost,"Translation of the Relics of St. Theodore the Great Martyr. (For the other Feast of this Saint see the 8th day of February.) — Our holy father, Ephrem, Patriarch of Antioch.",,,,
"Tuesday, June 9, 2026","Cyril of Alexandria—Archbishop","Rom 7:14-8:2|Mt 10:9-15",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Our holy father, Cyril, Archbishop of Alexandria. (For the other Feast of this Saint see the 18th day of January.) — SS. Thecla, Martha, and Mary, Martyrs, suffered in Persia A.D. 315 in the reign of the Emperor Constantine.",,,,
"Wednesday, June 10, 2026","Timothy—Bishop-Martyr","Rom 8:2-13|Mt 10:16-22",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"St. Timothy, Priest-Martyr, Bishop of Prusia in Bithynia (Asia Minor), suffered death in the persecution under Julian the Apostate A.D. 362. — Alexander and Antonina, Martyrs.",Aliturgical day (without Divine Liturgy) may be observed.,,,
"Thursday, June 11, 2026","Bartholomew and Barnabas—Apostles","Acts 11:19-30|Lk 10:16-22",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"SS. Bartholomew and Barnabas, Apostles. Bartholomew is thought by many to be Nathanael, the ""Israelite without guile"" of St. John's Gospel. He suffered death in Greater Armenia. His relics are enshrined in his church in Rome. (Confer August 25.) Barnabas was one of the SS. Seventy disciples. He labored with St. Paul of Antioch, Seleucia, etc., and is said to have been stoned to death by the Jews on the Isle of Cyprus.",,,,
"Friday, June 12, 2026","Onuphrius and Peter—Venerables","Rom 9:6-18|Mt 10:32-36,11:1",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Our venerable father, Onuphrius the Great, Hermit, lived alone for sixty years in the desert of Thebes. He died about A.D. 345 in the reign of Constantius. — Our venerable father, Peter of Athos.",Simple abstinence from meat or equivalent penance.,,,
"Saturday, June 13, 2026","Aquilina—Martyr","Rom 3:28-4:3|Mt 7:24-8:4",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"St. Aquilina, Martyr, suffered death A.D. 117 under the Emperor Trajan. — St. Trephillus, Bishop of Levkusia in Cyprus, suffered at the hands of the Arians especially because of his loyalty to St. Athanasius. He died about A.D. 370.",,,,
"Sunday, June 14, 2026","3RD SUNDAY AFTER PENTECOST","Rom 5:1-10|Mt 6:22-34",Tone 2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"St. Elisha, Prophet, was of the Tribe of Rubin and son of Saphath B.C. 816. On him fell the mantle of Elijah, and he continued the work of that great Prophet. In the age of St. Jerome his grave in Samaria was shown as containing also the body of St. Abdias, the Prophet. He died in the 8th century B.C. — Our holy father, Methodius, Patriarch of Constantinople, native of Sicily, was induced by the Empress Theodora to accept the See of Constantinople as successor to the Patriarch Nicephorus. He was celebrated for his sanctity in the Episcopate of his successor St. Ignatius. He died A.D. 846.",,,,
"Monday, June 15, 2026","Amos—Prophet","Rom 9:18-23|Mt 11:2-15",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4th Week after Pentecost,"St. Amos, Prophet, was the father of Isaiah, the Prophet. Tradition says he was scourged and his temples pierced with an iron spike in the 8th century B.C. — Venerable, Jerome, born at Stridonium in Dalmatia, was one of the most learned doctors. He studied at Rome, visited centers of learning in Gaul and Greece, retired into the Desert of Syria for study and prayer, was ordained a priest at Rome, became confidant and advisor of Pope St. Damascus, and finally settled in Bethlehem. He died A.D. 420. He compiled the ""Vulgate"" edition of the Bible which is used even now. — Translation of the Relics of our father, Theodore ""Sykeot"" A.D. 613 in the reign of the Emperor Heracleus. (For the other Feast of this Saint see the 22nd day of April.)",Aliturgical day (without Divine Liturgy) may be observed.,,,
"Tuesday, June 16, 2026","Tychon the Wonderworker—Bishop","Rom 10:11-11:2|Mt 11:16-20",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"St. Tychon, wonderworker, Bishop of Amathunsa, was conspicuous for his detestation of idolatry and his care of the poor. He died about A.D. 450.",Aliturgical day (without Divine Liturgy) may be observed.,,,
"Wednesday, June 17, 2026","Manuel, Sabel, Ishmael—Martyrs","Rom 11:2-12|Mt 11:20-26",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"SS. Manuel, Sabel and Ishmael, Persian Martyrs, Christians, sent by their King, Baitan, to negotiate peace with the Emperor Julian, the Apostate. Tradition has it that Julian had them arrested, condemned, beheaded, and their bodies burned A.D. 362. — SS. Isaurus, Basil, Innocent, Jeremias and others, having concealed themselves in a cave at Appollonia in Macedonia in the 3rd century persecution, on being discovered were tortured and beheaded.",,,,
