Date,Day Name,Readings,Tone,Is Holy Day?,Is Fasting?,Is Solemn Day?,Is Simple Holy Day?,Is Prefestive?,Is Postfestive Celebration?,Beginning of the Week Description,About Today,Remarks,Iconography URL,Iconography Caption,Further Reading
"Sunday, March 1, 2026","2ND SUNDAY OF THE GREAT FAST","Heb 1:10-2:3|Mk 2:1-12",Tone 5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"St. Eudoxia, Venerable-Martyr. At first she led a profligate life but was baptized by Theodotus, Bishop. Arrested, she was beheaded for her Christianity about A.D. 107 during the leadership of Diogenes, in the reign of Trajan, Emperor.",The Divine Liturgy of St. Basil is celebrated.,,,
"Monday, March 2, 2026","Theodotus—Bishop-Martyr","Gen 6:9-22|Prov 8:1-21",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3rd Week of the Great Fast,"St. Theodotus, Priest-Martyr Bishop of Cyrene, on the Island of Cyprus, was imprisoned, tortured for the Faith under Diocletian, Emperor. He survived and died peacefully A.D. 325.",Monday to Friday in the Great Fast are aliturgical (without Divine Liturgy) days. The Presanctified Divine Liturgy is celebrated on Wednesday and Friday.,,,
"Tuesday, March 3, 2026","Eutropius & Others—Martyrs","Gen 7:1-5|Prov 8:32-9:11",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"St. Eutropius and his bodyguards. SS. Cleonicus and Basiliscus, Martyrs. They suffered martyrdom A.D. 296 in the reign of Diocletian the Emperor.",,,,
"Wednesday, March 4, 2026","Gerasimus—Venerable","Gen 7:6-9|Prov 9:12-18",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Our venerable father, Gerasimus, a Hermit, founded a monastery on the bank of the River Jordan. In his youth a follower of the heretic Eutyches, he did severe penance the rest of his life. Died A.D. 475 — SS. Paul and his sister Juliana, Martyrs, sent to their reward A.D. 275 in the reign of Aurelian, Emperor.",Simple abstinence from meat. Presanctified Divine Liturgy celebrated.,,,
"Thursday, March 5, 2026","Conon—Martyr","Gen 7:11-8:4|Prov 10:1-22",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"St. Conon, Martyr, a poor Christian gardener of Nazareth in Galilee, who in Pamphylia (Asia Minor), or on the Island of Cyprus, was martyred A.D. 250 by Governor Pomplius. With nails driven through his ankles, he was forced to run before a chariot till he fell dying to be crushed under its wheels.",,,,
"Friday, March 6, 2026","42 Martyrs of Ammorium","Gen 8:4-21|Prov 10:31-11:12",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Forty-Two Martyrs at Ammorium: Theodore, Constantine, Callistus, Theophil and others with them, died at the hands of the Saracens about A.D. 840, in the reign of Theophilus, the Iconoclast.",Simple abstinence from meat. Presanctified Divine Liturgy celebrated.,,,
"Saturday, March 7, 2026","3rd All Souls Saturday","Heb 10:32-38|Mk 2:14-17",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"SS. Priest-Martyrs at Cherson: Basil, Ephrem, Capito, Eugene, Everius, Missionary Bishops to the Crimea and South of Russia, and four others with them. Suffered A.D. 296. — Venerable Paul, the Simple, in Egypt, a Solitary of wonderful patience and meekness. He passed away about A.D. 339 in the reign of Constantine II, Emperor.",,,,
"Sunday, March 8, 2026","3RD SUNDAY OF GREAT FAST|VENERATION OF THE CROSS","Heb 4:14-5:6|Mk 8:34-9:1",Tone 6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Our venerable father and confessor, Theophylact, Bishop of Nicomedia, was a disciple of Tarasius. Bishop, defended the veneration of Icons and Statues of Saints. Died in 30 year exile A.D. 845 in the reign of Emperor Michael III.","The Divine Liturgy of St. Basil is celebrated. Veneration of the Holy Cross. All services are celebrated in red vestments. Daylight Saving Time begins.",,,
"Monday, March 9, 2026","40 Martyrs of Sebaste","Gen 8:21-9:7; Heb 12:1-10|Prov 11:19-12:6; Mt 20:1-16",,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,4th Week of the Great Fast,"SS. Forty Martyrs at Sebaste in Armenia, were exposed naked on a frozen pond until death by the power of Licinius A.D. 320.","Feast of the Forty Holy Martyrs of Sebaste. Epistle, Hebrews 12:1-10; Gospel, Matthew 20:1-16.",,,
"Tuesday, March 10, 2026","Codratus and Others—Martyrs","Gen 9:8-17|Prov 12:8-22",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"SS. Codratus and companions: Cyprian, Anectus and Criscent, died A.D. 257 after years in prison under Valerian, Emperor.",,,,
