Date,Day Name,Readings,Tone,Is Holy Day?,Is Fasting?,Is Solemn Day?,Is Simple Holy Day?,Is Prefestive?,Is Postfestive Celebration?,Beginning of the Week Description,About Today,Remarks,Iconography URL,Iconography Caption,Further Reading
"Sunday, November 1, 2026","23RD SUNDAY AFTER PENTECOST","Eph 2:4-10|Lk 8:26-39",Tone 6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"The holy unmercenary wonderworkers Cosmas and Damian (303). The holy priest-martyr Theodore Romza, Bishop of Mukačhevo, brave defender of the Byzantine Catholic Church, killed by the Soviets A.D. (1947).","Standard Time resumes.",,,
"Monday, November 2, 2026","Akindynos and Others—Martyrs","1 Thess 2:20-3:8|Lk 11:29-33",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24th Week after Pentecost,"SS. Akindynos, Pegasius, Aphdonius, Elpidephorus and Anempodistus, Martyrs, suffered martyrdom for the Faith in Persia under King Sapor II about A.D. 345.",,,,
"Tuesday, November 3, 2026","Acepsimas and Others—Martyrs","1 Thess 3:9-13|Lk 11:34-41",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"SS. Acepsimas, Bishop of Hanita in Assyria. Joseph, Presbyter, and Aithalus, Deacon, were imprisoned, tortured and put to death by King Sapor II of Persia. — Renovation of the Church of St. George the Great-Martyr, in Lydia, where his Relics are reposed.",,,,
"Wednesday, November 4, 2026","Joannicius—Venerable","1 Thess 4:1-12|Lk 11:42-46",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Our venerable father, Joannicius the Great, a native of Bithynia in Asia Minor. He was in turn a soldier, a solitary hermit near Mt. Olympus, possessed the gift of prophecy and worked miracles. He opposed the Iconoclasts, died at age 94 in A.D. 846. — SS. Nicander, Bishop of Myra, and Hermas, Presbyter, were put to death at Myra in Lycia in Asia Minor. Date uncertain.",,,,
"Thursday, November 5, 2026","Galaction and Episteme—Martyrs","1 Thess 5:1-8|Lk 11:47-12:1",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"SS. Galaction and Episteme, a Christian husband and wife who were converted and baptized during a persecution, after which each retired into a monastery. They confessed the Faith at Emessa in the reign of Decius, Emperor. — SS. Patrobas, Hermias, Linus, Gaius and Philologus, from among the 70 Apostles.",,,,
"Friday, November 6, 2026","Paul the Confessor—Archbishop","1 Thess 5:9-13 & 24-28|Lk 12:2-12",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Our holy father, Paul, Archbishop of Constantinople, Confessor, strenuously upheld Catholicism against the Arians, but fell victim to the bigotry of the Emperor Constantius. In banishment he was left without food and was strangled by the Arians with his own Omophorion A.D. 350.",Simple abstinence from meat or equivalent penance.,,,
"Saturday, November 7, 2026","33 Martyrs of Melitene","2 Cor 11:1-6|Lk 9:1-6",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"SS. Hieros and Others with him, Armenian Christians, 33 in number, suffered at Melitene under the Emperor Diocletian in the first years of the 4th Century A.D. — Our holy father, Lazarus, wonderworker, fasting in the hills of Galilee.",,,,
"Sunday, November 8, 2026","24TH SUNDAY AFTER PENTECOST|ARCHANGEL MICHAEL AND ALL ANGELS","Eph 2:14-22 & Heb 2:2-10|Lk 8:41-56 & Lk 10:16-22",Tone 7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Synaxis of St. Michael the Archangel and all Angels. (Feast from the time of Constantine the Great, Emperor)",,,,
"Monday, November 9, 2026","Onesiphorus and Porphryius—Martyrs","2 Thess 1:1-10|Lk 12:13-15 & 22-31",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25th Week after Pentecost,"SS. Onesiphorus and Porphyrius, Martyrs. Porphyrius was of the household of Onesiphorus spoken of by St. Paul in his 2nd Epistle to Timothy (2:16-18). They preached the Gospel towards the close of the 1st century. Tradition says they were tied to wild horses and torn to pieces. — Our venerable mother, Matrona, died in peace A.D. 466, having lived 100 years. — Venerable, Theoktista, of Lesbos Island.",,,,
"Tuesday, November 10, 2026","Erastus and Others—Apostles","2 Thess 1:10-2:2|Lk 12:42-48",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"SS. Erastus, Olympus, Rodeon, Sosipater, Tertius and Quartus, Apostles. Erastus was converted by St. Paul and one of his helpers (Acts 19:22). Sosipater was a kinsman and disciple of St. Paul (Rom. 16:21). Quartus was a disciple of the Apostles, mentioned by St. Paul (Rom. 16:23).",,,,
"Wednesday, November 11, 2026","Menas, Victor and Vincent—Martyrs","2 Thess 2:1-12|Lk 12:48-59",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"SS. Menas, Victor and Vincent, Martyrs, suffered martyrdom A.D. 296. — St. Stephenida, Martyr, endured death A.D. 213. — Our venerable father, Theodore Studite, Confessor, Hegumen-Abbot. He resisted the Iconoclast Emperor at Constantinople, was banished four times, and ended his days in exile, aged 80, A.D. 826.",,,,
"Thursday, November 12, 2026","Josaphat—Archbishop","Heb 7:26-8:2|Jn 10:9-16",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"St. Josaphat, Priest-Martyr, Archbishop of Polotsk, was the first of the Orientals to be canonized at Rome A.D. 1867. Born at Vladimir, Poland A.D. 1584, at twenty he entered the Order of St. Basil, became a priest and was consecrated Archbishop in Lithuania. By his zeal he effected many conversions. In spite of warning, he visited the parish at Witepsk where the Schismatics cruelly put him to death for the Faith A.D. 1623. — Our holy father, John the ""Almoner,"" a native of Cyprus Island, distributed all his possessions among the poor, yet he left seventy churches in Alexandria in place of the seven he found there, during the reign of Emperor Heraclius. He died in Cyprus A.D. 619. — Our venerable father, Nilus, lived with the Solitaries of Mt. Sinai; died at Constantinople sometime after A.D. 430.",,,,
"Friday, November 13, 2026","John Chrysostom—Archbishop","Heb 7:26-8:2|Jn 10:9-16",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Our holy father, St. John the Chrysostom, Archbishop of Constantinople, most famous of both the Greek and the Latin Church and one of the four great Doctors of the Orient, called ""Golden-Tongued"" because of his eloquence. The Catholic Church honors him as the ""Heavenly Patron of Ecclesiastical Orators."" He revised St. Basil's Divine Liturgy. He suffered deposition and exile for his firm stand against the dissolute life at the Court of the Emperor Arcadius and Honorius. He died at Comana in Cappadocia, at the age of 62, A.D. 407 (Confer January 27 and 30.)",Simple abstinence from meat or equivalent penance.,,,
