Date,Day Name,Readings,Tone,Is Holy Day?,Is Fasting?,Is Solemn Day?,Is Simple Holy Day?,Is Prefestive?,Is Postfestive Celebration?,Beginning of the Week Description,About Today,Remarks,Iconography URL,Iconography Caption,Further Reading
"Thursday, October 1, 2026","PROTECTION OF THE THEOTOKOS","Heb 9:1-7|Lk 10:38-42;11:27-28",,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,19th Week after Pentecost,"Protection of the Theotokos. This special Feast Day of the Byzantine Church is celebrated every year since A.D. 911 when the Theotokos miraculously appeared in the Church of Blachernae in Constantinople. — St. Ananias, Apostle, one of the 70, who baptized St. Paul, the Apostle. — Our venerable father, Roman, the sweet-singer, author of many Kondaks, about A.D. 496.",,,,
"Friday, October 2, 2026","Cyprian—Bishop-Martyr","Phil 1:27-2:4|Lk 6:17-23",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"St. Cyprian, Priest-Martyr, a cultured Carthaginian, was converted and consecrated Bishop of Carthage. He wrote much and was a cordial friend of the Martyr Pope, St. Cornelius. He won his crown of Martyrdom by beheading A.D. 258 under the Emperor Valerian. — St. Justina, Virgin-Martyr, beheaded at Nicomedia under Emperor Diocletian, A.D. 300. — St. Andreas, who became ""a fool for Christ's sake.""",Simple abstinence from meat or equivalent penance.,,,
"Saturday, October 3, 2026","Denis the Areopagite—Bishop-Martyr","1 Cor 15:58-16:3|Lk 5:17-26",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"St. Denis, the Areopagite, Priest-Martyr, first Bishop of Athens, converted by St. Paul, the Apostle, and with him Rusticus and Eleutherius, Athenian converts (Acts 17:34).",,,,
"Sunday, October 4, 2026","19TH SUNDAY AFTER PENTECOST","2 Cor 11:31-12:9|Lk 8:5-15",Tone 2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"St. Hierotheus, Priest-Martyr, Bishop of Athens, disciple of St. Paul. Tradition has it that he was translated on a cloud to Jerusalem to be present at the Dormition of the Theotokos. — Venerable St. Francis of Assisi.","Franciscan Usage. St. Francis of Assisi, Gal 5:22-6:2; Mt 11:27-30.",,,
"Monday, October 5, 2026","Charitina—Martyr","Phil 2:12-16|Lk 6:24-30",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20th Week after Pentecost,"St. Charitina, Martyr, suffered Martyrdom A.D. at Amasa on the Black Sea, under Emperor Diocletian.",,,,
"Tuesday, October 6, 2026","Thomas—Apostle","1 Cor 4:9-16|Jn 20:19-31",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"St. Thomas, the glorious Apostle, otherwise called Didymus (twin). He is stated to have preached the Gospel in Parthia, in Media and in India, where he is said to have suffered martyrdom.",,,,
"Wednesday, October 7, 2026","Sergius and Bacchus—Martyrs","Phil 2:24-30|Lk 6:46-7:1",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"SS. Sergius and Bacchus, Martyrs, were officers in the Imperial Army and were put to death A.D. 296 during the reign of Maximian, Emperor.",,,,
"Thursday, October 8, 2026","Pelagia—Venerable","Phil 3:1-8|Lk 7:17-30",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Our venerable mother, Pelagia, Public sinner, but later penitent in a cave on Mt. Olivet near Jerusalem. Pelagia died A.D. 457.",,,,
"Friday, October 9, 2026","James Alpheus—Apostle","1 Cor 4:9-16|Lk 10:16-21",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"St. James the Lesser, son of Alpheus, Apostle and Brother of St. Matthew, the Apostle and Evangelist. — Our venerable father, Andronicus and his wife, Athanasia, from Antioch of Syria. On the death of their children they agreed to separate and thenceforth led lives of prayer and penance in the solitude of Upper-Egypt.",Simple abstinence from meat or equivalent penance.,,,
"Saturday, October 10, 2026","Eulampius & Eulampia—Martyrs","2 Cor 1:8-11|Lk 5:27-32",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"SS. Eulampius and his sister, Eulampia, Martyrs at Nicomedia A.D. 302 under the reign of Maximian Herculeus. They were young children, who for their Faith were cast into a cauldron of boiling oil but miraculously came out unhurt, and thereupon were beheaded. Two hundred soldiers witnessing this became converts and were put to death as Christians.",,,,
"Sunday, October 11, 2026","SUNDAY OF THE FATHERS OF THE 7TH ECUMENICAL COUNCIL","Gal 1:11-19; Lk 7:11-16 or: Heb 13:7-16; Jn 17:1-13",Tone 3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"St. Phillip, one of Seven Deacons, converted the Samaritans, baptized the eunuch of Candace, Queen of Ethiopia (Acts 8), and was the host of St. Paul at Caesarea (Acts 21:8). His four daughters are honored as Saints with him. He became Bishop of Tralles in Lydia, and there suffered martyrdom. — Our venerable father, Theophan, Confessor, Bishop of Nicea and composer of Canons, opposed the Iconoclasts at the 2nd Council of Nicea (A.D. 787). Banished by Emperor Leo the Armenian, he died in exile A.D. 818.","Feast of John XXIII, Pope of Rome.",,,
"Monday, October 12, 2026","Probus and Others—Martyrs","Phil 4:10-23|Lk 7:36-50",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,21st Week after Pentecost,"SS. Probus, Tarachus and Andronicus, Martyrs, suffered martyrdom during the reign of Diocletian A.D. 292. — Our venerable father, Cosmas, Bishop of Majuma, composer of Canons.",,,,
"Tuesday, October 13, 2026","Carpus and Others—Martyrs","Col 1:1-2 & 7-11|Lk 8:1-3",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"SS. Carpus, Bishop of the Church in Thyatira, and Papylus, his Deacon, and with them Agathonica, sister of Papylus, and Agathodorus, their servant, suffered A.D. 250 in the persecution under Nero.",,,,
"Wednesday, October 14, 2026","Paraskevia—Venerable","Col 1:18-23|Lk 8:22-25",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Our venerable mother, Paraskevia, child of peasant parents, of the city of Callicratia. Her relics were translated to Trapezont, a city in Bulgaria, A.D. 1201. — SS. Nazarius, Gervase, Protase and Celsus, Martyrs. St. Nazarius' father was a heathen, his mother, Perpetua, a Christian, probably a disciple of St. Peter. At Milan with his companion, Celsus, he was beheaded under Emperor Nero about A.D. 60. Gervase and Portase were brothers, sons of the St. Vitalis, Martyr. Their relics repose in Milan in the Ambrosian Basilica.",,,,
"Thursday, October 15, 2026","Euthymius—Venerable","Col 1:24-29|Lk 9:7-11",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Our venerable father, Euthymius, the New. — St. Lucian, Venerable-Martyr, Presbyter of greater Antioch, was put to death for the Faith at Nicomedia in Asia Minor by order of Emperors Maximian and Galerius, buried at Helenopolis in Bithynia.","Carmelites, Our Venerable Mother Theresa of Avila.",,,
