Date,Day Name,Readings,Tone,Is Holy Day?,Is Fasting?,Is Solemn Day?,Is Simple Holy Day?,Is Prefestive?,Is Postfestive Celebration?,Beginning of the Week Description,About Today,Remarks,Iconography URL,Iconography Caption,Further Reading
"Tuesday, September 1, 2026","Beginning of the Church Year|Simeon—Venerable","1 Tim 2:1-7|Lk 4:16-22",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"The Beginning of the ""Indiction,"" i.e., of the Church Year. — Our venerable father, Simeon, the Elder, the Stylite, and his mother, Martha. Simeon, a Monk, adopted a characteristic mode of penance by prayer and fasting on the top of a lofty stone column where he spent thirty-seven years until his death A.D. 459. — Synaxis of the Most Holy Mother of God in Missina. — SS. Aithelas, 40 Women of Macedonia and Ammon, Martyrs. Ammon, Deacon, was put to death under Emperor Licinius A.D. 313 at Heraclea in Thrace, together with 40 young women whom he converted to Christianity. — SS. Callistus, Evodius, and Hermogenes, Martyrs, were brothers by birth. — Venerable Joshua, son of Nun, who was successor of Moses in the 15th Century B.C.",,,,
"Wednesday, September 2, 2026","Mammas—Martyr","Gal 3:15-22|Mk 6:7-13",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15th Week after Pentecost,"St. Mammas, Martyr, a Roman of noble birth, mute for five years from birth, uttered his first word ""Mama"" whence he got his name. He suffered martyrdom at Caesarea in Cappadocia under Aurelian Emperor, A.D. 274. — Our holy father, John of the Fast, Patriarch of Constantinople about A.D. 551.",,,,
"Thursday, September 3, 2026","Anthimus—Bishop-Martyr","Gal 3:23-4:5|Mk 6:30-45",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"St. Anthimus, Priest-Martyr, Bishop of Nicomedia where he was martyred A.D. 303 under the Emperor Diocletian. — Our venerable father, Theoktistus, Co-Faster with Euthymius the Great, who died A.D. 431.",,,,
"Friday, September 4, 2026","Babylas—Bishop-Martyr","Gal 4:8-21|Mk 6:45-53",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"St. Babylas, Priest-Martyr, Archbishop of Greater Antioch for thirteen years. He died in chains awaiting execution during the Decian persecution A.D. 250. With him are commemorated Three Youths, his pupils, privileged with him to lay down their lives for Christ. — St. Moses, Prophet and Patriarch who preceded Jesus Christ by fifteen centuries. He was of the Tribe of Levi, for forty years a leader of the Israelites in their Exodus from Egypt and their wandering in the Wilderness. He died at the age of 120 near the borders of the Promised Land. Where he was buried no man knows. — St. Babylas, another Priest-Martyr, Teacher, of Nicomedia and with him 84 Youths. — SS. Hermione and Eutychia, Martyrs. Hermione was one of the daughters of Philip the Deacon, mentioned as a Prophetess (Acts 21:9). She is said to have suffered martyrdom for the Faith at Ephesus A.D. 117.",Simple abstinence from meat or equivalent penance.,,,
"Saturday, September 5, 2026","Zachary, Prophet and Elizabeth","1 Cor 4:17-5:5|Mt 24:1-13",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"St. Zachary, Prophet, father of Venerable John, the Precursor and Baptist.",,,,
"Sunday, September 6, 2026","15TH SUNDAY AFTER PENTECOST","2 Cor 4:6-15|Mt 22:35-46",Tone 6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Commemoration of the miracle by St. Michael the Archangel at Colossa in Chonia. — Ss. Eudoxius and with him 1104, Martyrs. Eudoxius was a Soldier-Martyr in the time of Trajan, Emperor. — Our venerable father, Archippus.",,,,
"Monday, September 7, 2026","Sozon—Martyr|Labor Day","Gal 4:28-5:10|Mk 6:54-7:8",,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,16th Week after Pentecost,"St. Sozon, Martyr, a Christian in Silicia, who broke up a silver idol and gave the proceeds to the poor. He was burned to death at the stake about A.D. 304.",,,,
"Tuesday, September 8, 2026","BIRTH OF THE THEOTOKOS","Phil 2:5-11|Lk 10:38-42,11:27-28",,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,"Nativity of The Theotokos. She was of royal lineage, of the House of David. Except the feast of the Dormition, this is one of the most ancient and famous Feasts of Our Lady.",,,,
"Wednesday, September 9, 2026","Synaxis of Joachim and Anna","Gal 6:2-10|Mk 7:14-24",,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,"SS. And Venerable, Joachim and Anna. Tradition holds that these Saints were the parents of the Theotokos although nothing is known of them, except that they lived in Galilee, and later in Jerusalem, where their traditional tomb was rediscovered in A.D. 1889. — St. Severianus, Martyr, was an Armenian Soldier-Saint, tortured to death under the power of Licinius A.D. 332.",,,,
"Thursday, September 10, 2026","Menodora and Others—Martyrs","Eph 1:1-9|Mk 7:24-30",,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,"SS. Mendora, Metrodora and Nymphodora, Martyrs, were three sisters, devout Christians of the Province of Bithynia in Asia Minor. Condemned for their Faith, they were beheaded A.D. 306 in the great persecution under Diocletian, Emperor.",,,,
